id,target
1008,yes
1009,yes
1010,no
1011,no
1012,no
1013,no
1014,no
1015,yes
1016,no
1017,no
1018,no
1019,yes
1020,no
1021,no
1022,yes
1023,no
1024,yes
1025,yes
1026,yes
1027,no
1028,no
1029,no
1030,no
1031,no
1032,yes
1033,yes
1034,no
1035,no
1036,no
1037,no
1038,no
1039,no
1040,yes
1041,no
1042,no
1043,no
1044,no
1045,yes
1046,yes
1047,no
1048,no
1049,no
1050,yes
1051,no
1052,yes
1053,no
1054,no
1055,no
1056,no
1057,yes
1058,no
1059,no
1060,yes
1061,no
1062,no
1063,yes
1064,no
1065,yes
1066,yes
1067,no
1068,yes
1069,yes
1070,yes
1071,yes
1072,no
1073,no
1074,yes
1075,no
1076,no
1077,no
1078,no
1079,yes
1080,no
1081,no
1082,no
1083,no
1084,no
1085,no
1086,no
1087,no
1088,no
1089,no
1090,no
1091,yes
1092,yes
1093,no
1094,no
1095,no
1096,no
1097,no
1098,no
1099,no
1100,no
1101,no
1102,no
1103,no
1104,no
1105,no
1106,no
1107,no
1108,no
1109,yes
1110,no
1111,no
1112,no
1113,no
1114,yes
1115,yes
1116,no
1117,no
1118,no
1119,yes
1120,no
1121,yes
1122,no
1123,no
1124,no
1125,no
1126,no
1127,yes
1128,no
1129,yes
1130,no
1131,no
1132,yes
1133,no
1134,no
1135,yes
1136,yes
1137,yes
1138,yes
1139,no
1140,no
1141,no
1142,no
1143,yes
1144,yes
1145,no
1146,yes
1147,no
1148,yes
1149,yes
1150,no
1151,no
1152,no
1153,yes
1154,no
1155,no
1156,no
1157,no
1158,no
1159,no
1160,no
1161,no
1162,no
1163,no
1164,no
1165,no
1166,no
1167,no
1168,no
1169,yes
1170,no
1171,no
1172,no
1173,no
1174,no
1175,no
1176,no
1177,no
1178,no
1179,yes
1180,no
1181,no
1182,yes
1183,no
1184,no
1185,no
1186,no
1187,no
1188,yes
1189,no
1190,yes
1191,no
1192,no
1193,no
1194,yes
1195,no
1196,no
1197,no
1198,no
1199,yes
1200,no
1201,yes
1202,no
1203,no
1204,no
1205,no
1206,yes
1207,no
1208,no
1209,no
1210,no
1211,no
1212,no
1213,yes
1214,yes
1215,yes
1216,yes
1217,no
1218,no
1219,no
1220,no
1221,no
1222,no
1223,yes
1224,no
1225,yes
1226,no
1227,no
1228,no
1229,no
1230,yes
1231,yes
1232,no
1233,no
1234,no
1235,yes
1236,yes
1237,no
1238,no
1239,yes
1240,yes
1241,no
1242,no
1243,no
1244,no
1245,no
1246,no
1247,yes
1248,no
1249,yes
1250,no
1251,no
1252,no
1253,no
1254,no
1255,yes
1256,no
1257,no
1258,no
1259,no
1260,no
1261,yes
1262,no
1263,yes
1264,no
1265,no
1266,no
1267,no
1268,yes
1269,yes
1270,no
1271,no
1272,no
1273,no
1274,no
1275,no
1276,no
1277,no
1278,no
1279,no
1280,no
1281,yes
1282,no
1283,no
1284,no
1285,yes
1286,no
1287,no
1288,no
1289,no
1290,yes
1291,no
1292,no
1293,no
1294,no
1295,no
1296,no
1297,yes
1298,yes
1299,no
1300,no
1301,no
1302,no
1303,no
1304,no
1305,no
1306,no
1307,yes
1308,no
1309,no
1310,no
1311,no
1312,no
1313,no
1314,no
1315,no
1316,yes
1317,no
1318,no
1319,no
1320,no
1321,no
1322,no
1323,no
1324,yes
1325,no
1326,no
1327,no
1328,no
1329,no
1330,no
1331,no
1332,no
1333,no
1334,no
1335,no
1336,no
1337,no
1338,no
1339,yes
1340,no
1341,no
1342,no
1343,no
1344,no
1345,yes
1346,no
1347,no
1348,yes
1349,no
1350,yes
1351,no
1352,no
1353,no
1354,no
1355,no
1356,yes
1357,no
1358,no
1359,yes
1360,no
1361,yes
1362,no
1363,yes
1364,no
1365,no
1366,no
1367,no
1368,no
1369,yes
1370,no
1371,no
1372,no
1373,no
1374,no
1375,yes
1376,no
1377,no
1378,yes
1379,no
1380,no
1381,no
1382,no
1383,no
1384,no
1385,no
1386,yes
1387,yes
1388,no
1389,no
1390,no
1391,no
1392,no
1393,no
1394,no
1395,no
1396,no
1397,no
1398,no
1399,no
1400,no
1401,no
1402,no
1403,no
1404,no
1405,no
1406,no
1407,no
1408,no
1409,no
1410,no
1411,no
1412,no
1413,no
1414,yes
1415,no
1416,no
1417,yes
1418,no
1419,no
1420,yes
1421,no
1422,no
1423,no
1424,no
1425,no
1426,yes
1427,no
1428,yes
1429,no
1430,yes
1431,yes
1432,no
1433,no
1434,no
1435,no
1436,no
1437,no
1438,no
1439,no
1440,no
1441,no
1442,yes
1443,yes
1444,no
1445,no
1446,no
1447,no
1448,no
1449,no
1450,no
1451,no
1452,no
1453,no
1454,no
1455,no
1456,yes
1457,no
1458,no
1459,no
1460,no
1461,yes
1462,yes
1463,no
1464,no
1465,no
1466,no
1467,yes
1468,yes
1469,no
1470,yes
1471,no
1472,no
1473,no
1474,no
1475,no
1476,no
1477,no
1478,yes
1479,no
1480,no
1481,no
1482,yes
1483,yes
1484,no
1485,yes
1486,no
1487,no
1488,no
1489,no
1490,yes
1491,no
1492,yes
1493,yes
1494,no
1495,no
1496,no
1497,no
1498,no
1499,no
1500,no
1501,no
1502,yes
1503,no
1504,no
1505,yes
1506,yes
1507,no
1508,no
1509,no
1510,yes
1511,no
1512,no
1513,yes
1514,no
1515,no
1516,no
1517,no
1518,no
1519,no
1520,no
1521,no
1522,no
1523,no
1524,no
1525,yes
1526,no
1527,no
1528,no
1529,no
1530,no
1531,no
1532,no
1533,no
1534,no
1535,no
1536,yes
1537,yes
1538,yes
1539,no
1540,no
1541,no
1542,no
1543,no
1544,no
1545,yes
1546,yes
1547,no
1548,yes
1549,no
1550,yes
1551,yes
1552,no
1553,yes
1554,no
1555,no
1556,no
1557,yes
1558,no
1559,no
1560,yes
1561,no
1562,yes
1563,no
1564,no
1565,no
1566,no
1567,no
1568,no
1569,no
1570,no
1571,no
1572,no
1573,no
1574,yes
1575,no
1576,no
1577,no
1578,yes
1579,no
1580,no
1581,no
1582,yes
1583,no
1584,yes
1585,no
1586,no
1587,no
1588,no
1589,no
1590,no
1591,no
1592,no
1593,no
1594,no
1595,no
1596,no
1597,yes
1598,no
1599,no
1600,no
1601,no
1602,no
1603,no
1604,no
1605,yes
1606,yes
1607,no
1608,no
1609,no
1610,yes
1611,yes
1612,no
1613,yes
1614,no
1615,no
1616,no
1617,yes
1618,yes
1619,no
1620,yes
1621,no
1622,no
1623,no
1624,no
1625,no
1626,no
1627,yes
1628,no
1629,no
1630,no
1631,no
1632,no
1633,yes
1634,no
1635,no
1636,no
1637,no
1638,no
1639,no
1640,no
1641,no
1642,no
1643,no
1644,yes
1645,no
1646,no
1647,no
1648,no
1649,no
1650,yes
1651,yes
1652,no
1653,no
1654,no
1655,no
1656,no
1657,no
1658,no
1659,no
1660,yes
1661,no
1662,no
1663,no
1664,no
1665,yes
1666,no
1667,yes
1668,no
1669,yes
1670,no
1671,no
1672,yes
1673,no
1674,no
1675,no
1676,no
1677,no
1678,no
1679,no
1680,no
1681,yes
1682,no
1683,no
1684,no
1685,no
1686,yes
1687,no
1688,no
1689,no
1690,yes
1691,no
1692,yes
1693,no
1694,no
1695,no
1696,yes
1697,yes
1698,no
1699,no
1700,no
1701,no
1702,no
1703,yes
1704,no
1705,no
1706,no
1707,no
1708,no
1709,no
1710,no
1711,no
1712,yes
1713,yes
1714,no
1715,no
1716,no
1717,no
1718,no
1719,no
1720,no
1721,no
1722,no
1723,no
1724,no
1725,no
1726,no
1727,no
1728,yes
1729,yes
1730,no
1731,no
1732,yes
1733,yes
1734,no
1735,no
1736,yes
1737,yes
1738,no
1739,no
1740,no
1741,no
1742,yes
1743,no
1744,no
1745,no
1746,no
1747,no
1748,no
1749,yes
1750,yes
1751,yes
1752,no
1753,no
1754,yes
1755,no
1756,no
1757,no
1758,no
1759,no
1760,no
1761,yes
1762,yes
1763,no
1764,no
1765,no
1766,no
1767,no
1768,no
1769,no
1770,no
1771,no
1772,no
1773,no
1774,no
1775,no
1776,yes
1777,no
1778,no
1779,no
1780,no
1781,no
1782,yes
1783,yes
1784,no
1785,yes
1786,no
1787,no
1788,no
1789,no
1790,yes
1791,no
1792,yes
1793,no
1794,yes
1795,yes
1796,no
1797,no
1798,no
1799,no
1800,no
1801,no
1802,yes
1803,no
1804,yes
1805,no
1806,no
1807,yes
1808,no
1809,no
1810,yes
1811,yes
1812,yes
1813,no
1814,no
1815,no
1816,no
1817,no
1818,no
1819,no
1820,no
1821,no
1822,no
1823,no
1824,yes
1825,no
1826,no
1827,no
1828,yes
1829,no
1830,no
1831,no
1832,no
1833,no
1834,no
1835,no
1836,yes
1837,no
1838,no
1839,no
1840,yes
1841,no
1842,no
1843,yes
1844,yes
1845,no
1846,no
1847,no
1848,yes
1849,no
1850,no
1851,yes
1852,no
1853,no
1854,no
1855,no
1856,no
1857,yes
1858,yes
1859,no
1860,no
1861,no
1862,no
1863,no
1864,no
1865,no
1866,no
1867,no
1868,yes
1869,yes
1870,no
1871,no
1872,yes
1873,no
1874,no
1875,no
1876,no
1877,no
1878,yes
1879,no
1880,no
1881,yes
1882,no
1883,yes
1884,no
1885,yes
1886,yes
1887,no
1888,no
1889,no
1890,yes
1891,yes
1892,no
1893,no
1894,yes
1895,no
1896,yes
1897,yes
1898,no
1899,no
1900,no
1901,yes
1902,no
1903,yes
1904,yes
1905,no
1906,no
1907,yes
1908,yes
1909,no
1910,yes
1911,yes
1912,no
1913,no
1914,no
1915,no
1916,no
1917,yes
1918,no
1919,no
1920,yes
1921,no
1922,no
1923,no
1924,no
1925,no
1926,no
1927,yes
1928,no
1929,yes
1930,yes
1931,yes
1932,yes
1933,no
1934,no
1935,no
1936,no
1937,yes
1938,no
1939,no
1940,no
1941,yes
1942,no
1943,no
1944,no
1945,yes
1946,yes
1947,no
1948,no
1949,yes
1950,no
1951,yes
1952,yes
1953,yes
1954,no
1955,no
1956,no
1957,no
1958,no
1959,no
1960,no
1961,no
1962,no
1963,no
1964,yes
1965,yes
1966,no
1967,no
1968,no
1969,yes
1970,no
1971,yes
1972,yes
1973,no
1974,no
1975,yes
1976,no
1977,no
1978,no
1979,no
1980,no
1981,no
1982,no
1983,no
1984,yes
1985,no
1986,yes
1987,no
1988,yes
1989,no
1990,yes
1991,no
1992,no
1993,no
1994,no
1995,no
1996,no
1997,no
1998,no
1999,yes
2000,no
2001,no
2002,no
2003,no
2004,no
2005,yes
2006,yes
2007,yes
2008,yes
2009,no
2010,yes
2011,no
2012,no
2013,no
2014,no
2015,no
2016,no
2017,no
2018,no
2019,no
2020,no
2021,no
2022,no
2023,no
2024,no
2025,yes
2026,yes
2027,no
2028,no
2029,yes
2030,no
2031,yes
2032,no
2033,no
2034,no
2035,no
2036,no
2037,no
2038,yes
2039,no
2040,no
2041,no
2042,yes
2043,no
2044,yes
2045,no
2046,yes
2047,no
2048,no
2049,no
2050,no
2051,no
2052,yes
2053,no
2054,no
2055,no
2056,yes
2057,no
2058,no
2059,no
2060,no
2061,no
2062,no
2063,no
2064,no
2065,yes
2066,yes
2067,no
2068,no
2069,no
2070,no
2071,yes
2072,no
2073,no
2074,yes
2075,no
2076,no
2077,no
2078,no
2079,no
2080,no
2081,no
2082,no
2083,no
2084,yes
2085,no
2086,no
2087,yes
2088,no
2089,yes
2090,no
2091,no
2092,yes
2093,no
2094,no
2095,no
2096,yes
2097,no
2098,no
2099,no
2100,yes
2101,no
2102,no
2103,no
2104,no
2105,yes
2106,yes
2107,no
2108,no
2109,yes
2110,no
2111,yes
2112,yes
2113,no
2114,no
2115,yes
2116,no
2117,no
2118,yes
2119,no
2120,no
2121,no
2122,no
2123,no
2124,no
2125,no
2126,no
2127,yes
2128,no
2129,no
2130,no
2131,no
2132,no
2133,no
2134,yes
2135,no
2136,no
2137,no
2138,no
2139,no
2140,no
2141,no
2142,no
2143,no
2144,yes
2145,no
2146,no
2147,no
2148,no
2149,no
2150,no
2151,no
2152,no
2153,yes
2154,no
2155,no
2156,no
2157,no
2158,no
2159,no
2160,yes
2161,no
2162,no
2163,yes
2164,yes
2165,yes
2166,yes
2167,yes
2168,no
2169,yes
2170,no
2171,yes
2172,no
2173,no
2174,no
2175,no
2176,no
2177,no
2178,yes
2179,no
2180,yes
2181,yes
2182,no
2183,no
2184,no
2185,no
2186,no
2187,yes
2188,no
2189,no
2190,yes
2191,no
2192,no
2193,no
2194,no
2195,yes
2196,no
2197,no
2198,yes
2199,no
2200,no
2201,yes
2202,no
2203,no
2204,no
2205,no
2206,no
2207,no
2208,no
2209,yes
2210,no
2211,yes
2212,no
2213,no
2214,no
2215,yes
2216,yes
2217,yes
2218,no
2219,yes
2220,no
2221,no
2222,no
2223,no
2224,no
2225,no
2226,yes
2227,no
2228,no
2229,no
2230,yes
2231,no
2232,no
2233,no
2234,no
2235,no
2236,no
2237,yes
2238,yes
2239,no
2240,no
2241,no
2242,yes
2243,yes
2244,no
2245,yes
2246,no
2247,no
2248,yes
2249,no
2250,no
2251,no
2252,no
2253,no
2254,yes
2255,no
2256,yes
2257,yes
2258,no
2259,no
2260,yes
2261,yes
2262,yes
2263,no
2264,yes
2265,no
2266,no
2267,yes
2268,no
2269,no
2270,no
2271,yes
2272,no
2273,yes
2274,no
2275,no
2276,no
2277,no
2278,no
2279,yes
2280,yes
2281,no
2282,no
2283,no
2284,no
2285,no
2286,no
2287,no
2288,no
2289,yes
2290,no
2291,no
2292,yes
2293,no
2294,no
2295,yes
2296,no
2297,yes
2298,no
2299,no
2300,no
2301,no
2302,no
2303,yes
2304,no
2305,no
2306,yes
2307,no
2308,yes
2309,no
2310,yes
2311,no
2312,no
2313,yes
2314,no
2315,no
2316,yes
2317,yes
2318,no
2319,no
2320,no
2321,no
2322,yes
2323,yes
2324,no
2325,no
2326,no
2327,no
2328,no
2329,yes
2330,no
2331,no
2332,yes
2333,no
2334,no
2335,no
2336,yes
2337,no
2338,no
2339,no
2340,no
2341,no
2342,yes
2343,no
2344,no
2345,yes
2346,no
2347,no
2348,no
2349,no
2350,yes
2351,no
2352,no
2353,no
2354,no
2355,no
2356,no
2357,no
2358,no
2359,no
2360,yes
2361,no
2362,no
2363,yes
2364,no
2365,no
2366,no
2367,no
2368,no
2369,no
2370,no
2371,no
2372,no
2373,no
2374,no
2375,no
2376,no
2377,no
2378,yes
2379,yes
2380,no
2381,no
2382,no
2383,no
2384,no
2385,yes
2386,yes
2387,no
2388,no
2389,no
2390,no
2391,no
2392,no
2393,no
2394,yes
2395,no
2396,yes
2397,no
2398,no
2399,yes
2400,no
2401,no
2402,yes
2403,no
2404,yes
2405,no
2406,no
2407,no
2408,yes
2409,no
2410,no
2411,no
2412,yes
2413,yes
2414,no
2415,no
2416,no
2417,no
2418,yes
2419,no
2420,yes
2421,no
2422,no
2423,yes
2424,no
2425,no
2426,no
2427,no
2428,no
2429,no
2430,no
2431,yes
2432,yes
2433,no
2434,no
2435,no
2436,no
2437,no
2438,no
2439,yes
2440,yes
2441,no
2442,no
2443,no
2444,no
2445,no
2446,no
2447,yes
2448,no
2449,yes
2450,no
2451,no
2452,no
2453,no
2454,no
2455,no
2456,no
2457,no
2458,yes
2459,yes
2460,no
2461,no
2462,no
2463,no
2464,no
2465,no
2466,no
2467,yes
2468,no
2469,no
2470,yes
2471,no
2472,no
2473,yes
2474,yes
2475,no
2476,no
2477,no
2478,no
2479,yes
2480,yes
2481,yes
2482,yes
2483,yes
2484,no
2485,no
2486,yes
2487,yes
2488,no
2489,no
2490,no
2491,no
2492,no
2493,no
2494,no
2495,no
2496,no
2497,no
2498,no
2499,no
2500,no
2501,no
2502,no
2503,yes
2504,no
2505,no
2506,no
2507,yes
2508,yes
2509,no
2510,no
2511,no
2512,no
2513,no
2514,no
2515,yes
2516,no
2517,no
2518,yes
2519,no
2520,no
2521,yes
2522,yes
2523,no
2524,no
2525,no
2526,no
2527,yes
2528,no
2529,no
2530,no
2531,no
2532,no
2533,no
2534,no
2535,no
2536,no
2537,yes
2538,yes
2539,no
2540,yes
2541,yes
2542,no
2543,no
2544,no
2545,no
2546,no
2547,no
2548,no
2549,yes
2550,no
2551,no
2552,yes
2553,no
2554,yes
2555,yes
2556,no
2557,no
2558,no
2559,no
2560,no
2561,no
2562,yes
2563,no
2564,no
2565,no
2566,yes
2567,no
2568,no
2569,yes
2570,no
2571,no
2572,yes
2573,no
2574,yes
2575,no
2576,no
2577,no
2578,no
2579,no
2580,no
2581,no
2582,no
2583,no
2584,no
2585,no
2586,no
2587,no
2588,no
2589,no
2590,no
2591,no
2592,no
2593,yes
2594,no
2595,no
2596,no
2597,no
2598,no
2599,no
2600,no
2601,no
2602,yes
2603,no
2604,yes
2605,no
2606,no
2607,yes
2608,no
2609,no
2610,no
2611,yes
2612,yes
2613,no
2614,yes
2615,yes
2616,no
2617,no
2618,no
2619,yes
2620,no
2621,no
2622,no
2623,no
2624,no
2625,no
2626,no
2627,no
2628,yes
2629,no
2630,yes
2631,no
2632,no
2633,no
2634,no
2635,no
2636,no
2637,no
2638,no
2639,no
2640,yes
2641,no
2642,yes
2643,no
2644,no
2645,no
2646,yes
2647,yes
2648,no
2649,no
2650,no
2651,no
2652,yes
2653,no
2654,no
2655,no
2656,yes
2657,no
2658,no
2659,yes
2660,no
2661,no
2662,no
2663,no
2664,no
2665,yes
2666,no
2667,no
2668,no
2669,no
2670,yes
2671,yes
2672,no
2673,no
2674,no
2675,no
2676,no
2677,yes
2678,yes
2679,no
2680,no
2681,yes
2682,no
2683,no
2684,no
2685,no
2686,no
2687,no
2688,yes
2689,no
2690,yes
2691,no
2692,no
2693,yes
2694,no
2695,no
2696,no
2697,yes
2698,yes
2699,no
2700,yes
2701,no
2702,no
2703,no
2704,no
2705,no
2706,no
2707,no
2708,no
2709,yes
2710,yes
2711,no
2712,yes
2713,yes
2714,no
2715,no
2716,yes
2717,no
2718,no
2719,no
2720,no
2721,no
2722,yes
2723,no
2724,no
2725,no
2726,no
2727,yes
2728,no
2729,no
2730,yes
2731,no
2732,no
2733,yes
2734,no
2735,no
2736,no
2737,no
2738,no
2739,no
2740,no
2741,no
2742,no
2743,no
2744,no
2745,no
2746,no
2747,no
2748,no
2749,no
2750,yes
2751,no
2752,no
2753,no
2754,yes
2755,yes
2756,no
2757,no
2758,no
2759,no
2760,no
2761,yes
2762,no
2763,no
2764,no
2765,no
2766,no
2767,no
2768,yes
2769,yes
2770,yes
2771,no
2772,yes
2773,no
2774,yes
2775,no
2776,no
2777,no
2778,yes
2779,no
2780,no
2781,no
2782,no
2783,no
2784,no
2785,no
2786,no
2787,no
2788,no
2789,yes
2790,no
2791,no
2792,yes
2793,yes
2794,yes
2795,yes
2796,yes
2797,no
2798,yes
2799,no
2800,yes
2801,no
2802,no
2803,no
2804,no
2805,no
2806,no
2807,no
2808,yes
2809,no
2810,yes
2811,no
2812,no
2813,no
2814,no
2815,no
2816,no
2817,no
2818,yes
2819,no
2820,no
2821,no
2822,yes
2823,no
2824,no
2825,yes
2826,no
2827,yes
2828,no
2829,no
2830,no
2831,no
2832,yes
2833,no
2834,yes
2835,no
2836,yes
2837,no
2838,no
2839,yes
2840,no
2841,no
2842,no
2843,no
2844,no
2845,yes
